Year;Germans Male;Germans Female;Foreigners Male;Foreigners Female
2000;1203643;374272;450260;112363
2001;1215912;378039;433074;110541
2002;1252792;394033;431672;113107
2003;1289363;407290;420066;112083
2004;1322029;420022;412453;113994
2005;1299066;410503;392156;108271
2006;1284882;412278;376470;109011
2007;1300074;420170;366610;106017
2008;1341311;443316;364778;106288
2009;1228964;414785;343386;103455
2010;1190065;413756;350110;106912
2011;1153620;402655;360534;110434
2012;1132049;396061;376406;114153
2013;1104460;394762;402324;123339
2014;1084472;393993;465067;137677
2015;1033635;376182;694220;185628
2016;1003162;359999;705729;201306
2017;976637;349365;556843;154973
2018;954814;338813;538028;149008
2019;934986;332979;529045;149311
2020;928459;314791;508783;132843
